image,group,method,green_dx,green_dy,red_dx,red_dy,alignment_seconds
00056v,provided,single_ncc,1,6,1,13,0.5133
00056v,provided,single_l2,1,6,1,13,0.327
00056v,provided,pyramid_ncc,1,6,1,13,0.0735
00056v,provided,pyramid_l2,1,6,1,13,0.0465
00056v,provided,edges_ncc,1,6,1,13,0.0816
00125v,provided,single_ncc,2,5,1,10,0.5595
00125v,provided,single_l2,2,5,1,10,0.3569
00125v,provided,pyramid_ncc,2,5,1,10,0.0705
00125v,provided,pyramid_l2,2,5,1,10,0.0446
00125v,provided,edges_ncc,2,5,1,10,0.0687
00163v,provided,single_ncc,1,-3,1,-4,0.5464
00163v,provided,single_l2,1,-3,1,-4,0.3616
00163v,provided,pyramid_ncc,1,-3,1,-4,0.0714
00163v,provided,pyramid_l2,1,-3,1,-4,0.0515
00163v,provided,edges_ncc,1,-3,1,-4,0.0698
00458u,provided,pyramid_ncc,6,42,32,87,0.7086
00458u,provided,pyramid_l2,6,42,32,87,0.6666
00458u,provided,edges_ncc,2,41,30,85,1.1856
00637v,additional,single_ncc,-2,4,-5,10,0.5688
00637v,additional,single_l2,-2,4,-5,10,0.4251
00637v,additional,pyramid_ncc,-2,4,-5,10,0.0665
00637v,additional,pyramid_l2,-2,4,-5,10,0.0472
00637v,additional,edges_ncc,-2,4,-5,10,0.0904
00804v,provided,single_ncc,-2,6,-4,13,0.5635
00804v,provided,single_l2,-2,6,-4,13,0.4168
00804v,provided,pyramid_ncc,-2,6,-4,13,0.0739
00804v,provided,pyramid_l2,-2,6,-4,13,0.0444
00804v,provided,edges_ncc,-2,6,-4,13,0.0817
01007a,provided,pyramid_ncc,14,60,13,129,0.7489
01007a,provided,pyramid_l2,14,60,13,129,0.7097
01007a,provided,edges_ncc,14,60,13,129,1.2205
01047u,provided,pyramid_ncc,20,24,33,71,0.7838
01047u,provided,pyramid_l2,20,24,33,71,0.6837
01047u,provided,edges_ncc,19,25,33,71,1.0679
01164v,provided,single_ncc,2,6,3,11,0.6829
01164v,provided,single_l2,2,6,3,11,0.4356
01164v,provided,pyramid_ncc,2,6,3,11,0.0843
01164v,provided,pyramid_l2,2,6,3,11,0.0451
01164v,provided,edges_ncc,2,6,3,11,0.1203
01194v,additional,single_ncc,4,5,6,11,0.7084
01194v,additional,single_l2,4,5,6,11,0.4411
01194v,additional,pyramid_ncc,4,5,6,11,0.0779
01194v,additional,pyramid_l2,4,5,6,11,0.0564
01194v,additional,edges_ncc,4,5,6,11,0.1153
01269v,provided,single_ncc,2,6,3,13,0.5726
01269v,provided,single_l2,2,6,-25,25,0.4068
01269v,provided,pyramid_ncc,2,6,3,13,0.0733
01269v,provided,pyramid_l2,2,6,-32,32,0.0463
01269v,provided,edges_ncc,2,6,3,13,0.1024
01522v,provided,single_ncc,2,6,2,13,0.7085
01522v,provided,single_l2,2,6,1,13,0.44
01522v,provided,pyramid_ncc,2,6,2,13,0.1136
01522v,provided,pyramid_l2,2,6,1,13,0.0598
01522v,provided,edges_ncc,2,6,2,13,0.1089
01597v,provided,single_ncc,1,7,1,16,0.5875
01597v,provided,single_l2,1,7,1,16,0.3762
01597v,provided,pyramid_ncc,1,7,1,16,0.0731
01597v,provided,pyramid_l2,1,7,1,16,0.0474
01597v,provided,edges_ncc,1,7,1,16,0.0819
01598v,provided,single_ncc,0,8,-1,16,0.7531
01598v,provided,single_l2,0,8,-1,17,0.3441
01598v,provided,pyramid_ncc,0,8,-1,16,0.075
01598v,provided,pyramid_l2,0,8,-1,17,0.0553
01598v,provided,edges_ncc,0,8,-1,16,0.0807
01653v,additional,single_ncc,-2,7,-3,21,0.5455
01653v,additional,single_l2,-2,7,-3,21,0.3874
01653v,additional,pyramid_ncc,-2,7,-3,21,0.0777
01653v,additional,pyramid_l2,-2,7,-3,21,0.055
01653v,additional,edges_ncc,-2,7,-3,21,0.103
01657u,provided,pyramid_ncc,8,55,12,117,0.7179
01657u,provided,pyramid_l2,8,55,12,116,0.6445
01657u,provided,edges_ncc,9,56,13,119,1.1648
01725u,provided,pyramid_ncc,44,77,78,162,0.6931
01725u,provided,pyramid_l2,44,77,78,162,0.644
01725u,provided,edges_ncc,44,76,76,160,1.0891
01728v,provided,single_ncc,1,8,1,18,0.5479
01728v,provided,single_l2,1,8,1,18,0.4344
01728v,provided,pyramid_ncc,1,8,1,18,0.072
01728v,provided,pyramid_l2,1,8,1,18,0.0474
01728v,provided,edges_ncc,1,8,1,18,0.072
01861a,provided,pyramid_ncc,39,71,63,148,0.7305
01861a,provided,pyramid_l2,38,71,62,148,0.7479
01861a,provided,edges_ncc,39,71,62,147,1.1477
10131v,provided,single_ncc,2,6,3,12,0.6585
10131v,provided,single_l2,2,6,3,12,0.5094
10131v,provided,pyramid_ncc,2,6,3,12,0.1111
10131v,provided,pyramid_l2,2,6,3,12,0.0616
10131v,provided,edges_ncc,2,6,3,12,0.0843
31421v,provided,single_ncc,0,8,0,13,0.6173
31421v,provided,single_l2,0,8,0,13,0.3714
31421v,provided,pyramid_ncc,0,8,0,13,0.0846
31421v,provided,pyramid_l2,0,8,0,13,0.0472
31421v,provided,edges_ncc,0,8,0,13,0.0729
